,question,category,response,type
0,similarity,no_drums,1,rand
0,similarity,train_under5,1,rand
0,similarity,all,1,rand
0,similarity,no_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,no_train,1,rand
0,similarity,all,1,rand
0,similarity,no_compose,1,rand
0,similarity,yes_drums,1,rand
0,similarity,train_under5,1,rand
0,similarity,all,1,rand
0,similarity,yes_compose,1,rand
0,similarity,yes_drums,1,rand
0,similarity,train_over5,1,rand
0,similarity,all,1,rand
0,similarity,no_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,no_train,3,rand
0,similarity,all,3,rand
0,similarity,yes_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,no_train,2,rand
0,similarity,all,2,rand
0,similarity,no_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,train_under5,3,rand
0,similarity,all,3,rand
0,similarity,yes_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,train_over5,2,rand
0,similarity,all,2,rand
0,similarity,yes_compose,0,rand
0,similarity,no_drums,0,rand
0,similarity,train_under5,0,rand
0,similarity,all,0,rand
0,similarity,yes_compose,1,rand
0,similarity,yes_drums,1,rand
0,similarity,train_under5,1,rand
0,similarity,all,1,rand
0,similarity,no_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,train_over5,3,rand
0,similarity,all,3,rand
0,similarity,yes_compose,0,rand
0,similarity,yes_drums,0,rand
0,similarity,train_over5,0,rand
0,similarity,all,0,rand
0,similarity,no_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,no_train,1,rand
0,similarity,all,1,rand
0,similarity,no_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,no_train,1,rand
0,similarity,all,1,rand
0,similarity,yes_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,train_over5,3,rand
0,similarity,all,3,rand
0,similarity,no_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,train_under5,1,rand
0,similarity,all,1,rand
0,similarity,yes_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,train_under5,1,rand
0,similarity,all,1,rand
0,similarity,yes_compose,2,rand
0,similarity,yes_drums,2,rand
0,similarity,train_over5,2,rand
0,similarity,all,2,rand
0,similarity,yes_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,no_train,3,rand
0,similarity,all,3,rand
0,similarity,yes_compose,3,rand
0,similarity,yes_drums,3,rand
0,similarity,train_over5,3,rand
0,similarity,all,3,rand
0,similarity,yes_compose,2,rand
0,similarity,yes_drums,2,rand
0,similarity,train_over5,2,rand
0,similarity,all,2,rand
0,similarity,no_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,no_train,2,rand
0,similarity,all,2,rand
0,similarity,no_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,no_train,3,rand
0,similarity,all,3,rand
0,similarity,no_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,train_under5,3,rand
0,similarity,all,3,rand
0,similarity,yes_compose,4,rand
0,similarity,yes_drums,4,rand
0,similarity,train_under5,4,rand
0,similarity,all,4,rand
0,similarity,no_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,train_under5,2,rand
0,similarity,all,2,rand
0,similarity,no_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,no_train,3,rand
0,similarity,all,3,rand
0,similarity,no_compose,1,rand
0,similarity,yes_drums,1,rand
0,similarity,train_under5,1,rand
0,similarity,all,1,rand
0,similarity,yes_compose,2,rand
0,similarity,yes_drums,2,rand
0,similarity,train_over5,2,rand
0,similarity,all,2,rand
0,similarity,no_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,no_train,3,rand
0,similarity,all,3,rand
0,similarity,yes_compose,4,rand
0,similarity,no_drums,4,rand
0,similarity,no_train,4,rand
0,similarity,all,4,rand
0,similarity,no_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,train_under5,3,rand
0,similarity,all,3,rand
0,similarity,yes_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,train_over5,2,rand
0,similarity,all,2,rand
0,similarity,yes_compose,4,rand
0,similarity,no_drums,4,rand
0,similarity,train_under5,4,rand
0,similarity,all,4,rand
0,similarity,yes_compose,3,rand
0,similarity,yes_drums,3,rand
0,similarity,train_under5,3,rand
0,similarity,all,3,rand
0,similarity,no_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,train_over5,3,rand
0,similarity,all,3,rand
0,similarity,yes_compose,0,rand
0,similarity,yes_drums,0,rand
0,similarity,train_over5,0,rand
0,similarity,all,0,rand
0,similarity,no_compose,0,rand
0,similarity,no_drums,0,rand
0,similarity,no_train,0,rand
0,similarity,all,0,rand
0,similarity,no_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,no_train,1,rand
0,similarity,all,1,rand
0,similarity,yes_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,train_over5,1,rand
0,similarity,all,1,rand
0,similarity,no_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,train_under5,1,rand
0,similarity,all,1,rand
0,similarity,yes_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,train_under5,1,rand
0,similarity,all,1,rand
0,similarity,yes_compose,0,rand
0,similarity,yes_drums,0,rand
0,similarity,train_over5,0,rand
0,similarity,all,0,rand
0,similarity,yes_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,no_train,1,rand
0,similarity,all,1,rand
0,similarity,yes_compose,2,rand
0,similarity,yes_drums,2,rand
0,similarity,train_over5,2,rand
0,similarity,all,2,rand
0,similarity,yes_compose,2,rand
0,similarity,yes_drums,2,rand
0,similarity,train_over5,2,rand
0,similarity,all,2,rand
0,similarity,no_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,no_train,2,rand
0,similarity,all,2,rand
0,similarity,no_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,no_train,1,rand
0,similarity,all,1,rand
0,similarity,no_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,train_under5,2,rand
0,similarity,all,2,rand
0,similarity,yes_compose,2,rand
0,similarity,yes_drums,2,rand
0,similarity,train_under5,2,rand
0,similarity,all,2,rand
0,similarity,no_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,train_under5,2,rand
0,similarity,all,2,rand
0,similarity,no_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,no_train,1,rand
0,similarity,all,1,rand
0,similarity,no_compose,1,rand
0,similarity,yes_drums,1,rand
0,similarity,train_under5,1,rand
0,similarity,all,1,rand
0,similarity,yes_compose,1,rand
0,similarity,yes_drums,1,rand
0,similarity,train_over5,1,rand
0,similarity,all,1,rand
0,similarity,no_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,no_train,1,rand
0,similarity,all,1,rand
0,similarity,yes_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,no_train,3,rand
0,similarity,all,3,rand
0,similarity,no_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,train_under5,2,rand
0,similarity,all,2,rand
0,similarity,yes_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,train_over5,1,rand
0,similarity,all,1,rand
0,similarity,yes_compose,0,rand
0,similarity,no_drums,0,rand
0,similarity,train_under5,0,rand
0,similarity,all,0,rand
0,similarity,yes_compose,2,rand
0,similarity,yes_drums,2,rand
0,similarity,train_under5,2,rand
0,similarity,all,2,rand
0,similarity,no_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,train_over5,1,rand
0,similarity,all,1,rand
0,similarity,yes_compose,2,rand
0,similarity,yes_drums,2,rand
0,similarity,train_over5,2,rand
0,similarity,all,2,rand
0,similarity,no_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,no_train,3,rand
0,similarity,all,3,rand
0,similarity,no_compose,0,rand
0,similarity,no_drums,0,rand
0,similarity,no_train,0,rand
0,similarity,all,0,rand
0,similarity,yes_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,train_over5,2,rand
0,similarity,all,2,rand
0,similarity,no_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,train_under5,1,rand
0,similarity,all,1,rand
0,similarity,yes_compose,0,rand
0,similarity,no_drums,0,rand
0,similarity,train_under5,0,rand
0,similarity,all,0,rand
0,similarity,yes_compose,2,rand
0,similarity,yes_drums,2,rand
0,similarity,train_over5,2,rand
0,similarity,all,2,rand
0,similarity,yes_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,no_train,3,rand
0,similarity,all,3,rand
0,similarity,yes_compose,3,rand
0,similarity,yes_drums,3,rand
0,similarity,train_over5,3,rand
0,similarity,all,3,rand
0,similarity,yes_compose,1,rand
0,similarity,yes_drums,1,rand
0,similarity,train_over5,1,rand
0,similarity,all,1,rand
0,similarity,no_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,no_train,2,rand
0,similarity,all,2,rand
0,similarity,no_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,no_train,1,rand
0,similarity,all,1,rand
0,similarity,no_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,train_under5,2,rand
0,similarity,all,2,rand
0,similarity,yes_compose,3,rand
0,similarity,yes_drums,3,rand
0,similarity,train_under5,3,rand
0,similarity,all,3,rand
0,similarity,no_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,train_under5,2,rand
0,similarity,all,2,rand
0,similarity,no_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,no_train,2,rand
0,similarity,all,2,rand
0,similarity,no_compose,1,rand
0,similarity,yes_drums,1,rand
0,similarity,train_under5,1,rand
0,similarity,all,1,rand
0,similarity,yes_compose,1,rand
0,similarity,yes_drums,1,rand
0,similarity,train_over5,1,rand
0,similarity,all,1,rand
0,similarity,no_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,no_train,3,rand
0,similarity,all,3,rand
0,similarity,yes_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,no_train,3,rand
0,similarity,all,3,rand
0,similarity,no_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,train_under5,2,rand
0,similarity,all,2,rand
0,similarity,yes_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,train_over5,1,rand
0,similarity,all,1,rand
0,similarity,yes_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,train_under5,1,rand
0,similarity,all,1,rand
0,similarity,yes_compose,1,rand
0,similarity,yes_drums,1,rand
0,similarity,train_under5,1,rand
0,similarity,all,1,rand
0,similarity,no_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,train_over5,2,rand
0,similarity,all,2,rand
0,similarity,yes_compose,0,rand
0,similarity,yes_drums,0,rand
0,similarity,train_over5,0,rand
0,similarity,all,0,rand
0,similarity,no_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,no_train,3,rand
0,similarity,all,3,rand
0,similarity,no_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,no_train,1,rand
0,similarity,all,1,rand
0,similarity,yes_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,train_over5,3,rand
0,similarity,all,3,rand
0,similarity,no_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,train_under5,1,rand
0,similarity,all,1,rand
0,similarity,yes_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,train_under5,1,rand
0,similarity,all,1,rand
0,similarity,yes_compose,2,rand
0,similarity,yes_drums,2,rand
0,similarity,train_over5,2,rand
0,similarity,all,2,rand
0,similarity,yes_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,no_train,2,rand
0,similarity,all,2,rand
0,similarity,yes_compose,3,rand
0,similarity,yes_drums,3,rand
0,similarity,train_over5,3,rand
0,similarity,all,3,rand
0,similarity,yes_compose,1,rand
0,similarity,yes_drums,1,rand
0,similarity,train_over5,1,rand
0,similarity,all,1,rand
0,similarity,no_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,no_train,1,rand
0,similarity,all,1,rand
0,similarity,no_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,no_train,3,rand
0,similarity,all,3,rand
0,similarity,no_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,train_under5,2,rand
0,similarity,all,2,rand
0,similarity,yes_compose,4,rand
0,similarity,yes_drums,4,rand
0,similarity,train_under5,4,rand
0,similarity,all,4,rand
0,similarity,no_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,train_under5,2,rand
0,similarity,all,2,rand
0,similarity,no_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,no_train,1,rand
0,similarity,all,1,rand
0,similarity,no_compose,1,rand
0,similarity,yes_drums,1,rand
0,similarity,train_under5,1,rand
0,similarity,all,1,rand
0,similarity,yes_compose,1,rand
0,similarity,yes_drums,1,rand
0,similarity,train_over5,1,rand
0,similarity,all,1,rand
0,similarity,no_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,no_train,3,rand
0,similarity,all,3,rand
0,similarity,yes_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,no_train,3,rand
0,similarity,all,3,rand
0,similarity,no_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,train_under5,2,rand
0,similarity,all,2,rand
0,similarity,yes_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,train_over5,3,rand
0,similarity,all,3,rand
0,similarity,yes_compose,0,rand
0,similarity,no_drums,0,rand
0,similarity,train_under5,0,rand
0,similarity,all,0,rand
0,similarity,yes_compose,2,rand
0,similarity,yes_drums,2,rand
0,similarity,train_under5,2,rand
0,similarity,all,2,rand
0,similarity,no_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,train_over5,2,rand
0,similarity,all,2,rand
0,similarity,yes_compose,2,rand
0,similarity,yes_drums,2,rand
0,similarity,train_over5,2,rand
0,similarity,all,2,rand
0,similarity,no_compose,0,rand
0,similarity,no_drums,0,rand
0,similarity,no_train,0,rand
0,similarity,all,0,rand
0,similarity,no_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,no_train,3,rand
0,similarity,all,3,rand
0,similarity,yes_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,train_over5,3,rand
0,similarity,all,3,rand
0,similarity,no_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,train_under5,2,rand
0,similarity,all,2,rand
0,similarity,yes_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,train_under5,3,rand
0,similarity,all,3,rand
0,similarity,yes_compose,1,rand
0,similarity,yes_drums,1,rand
0,similarity,train_over5,1,rand
0,similarity,all,1,rand
0,similarity,yes_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,no_train,1,rand
0,similarity,all,1,rand
0,similarity,yes_compose,1,rand
0,similarity,yes_drums,1,rand
0,similarity,train_over5,1,rand
0,similarity,all,1,rand
0,similarity,yes_compose,1,rand
0,similarity,yes_drums,1,rand
0,similarity,train_over5,1,rand
0,similarity,all,1,rand
0,similarity,no_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,no_train,3,rand
0,similarity,all,3,rand
0,similarity,no_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,no_train,1,rand
0,similarity,all,1,rand
0,similarity,no_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,train_under5,2,rand
0,similarity,all,2,rand
0,similarity,yes_compose,3,rand
0,similarity,yes_drums,3,rand
0,similarity,train_under5,3,rand
0,similarity,all,3,rand
0,similarity,no_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,train_under5,3,rand
0,similarity,all,3,rand
0,similarity,no_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,no_train,1,rand
0,similarity,all,1,rand
0,similarity,no_compose,3,rand
0,similarity,yes_drums,3,rand
0,similarity,train_under5,3,rand
0,similarity,all,3,rand
0,similarity,yes_compose,1,rand
0,similarity,yes_drums,1,rand
0,similarity,train_over5,1,rand
0,similarity,all,1,rand
0,similarity,no_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,no_train,2,rand
0,similarity,all,2,rand
0,similarity,yes_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,no_train,3,rand
0,similarity,all,3,rand
0,similarity,no_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,train_under5,2,rand
0,similarity,all,2,rand
0,similarity,yes_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,train_over5,3,rand
0,similarity,all,3,rand
0,similarity,yes_compose,0,rand
0,similarity,no_drums,0,rand
0,similarity,train_under5,0,rand
0,similarity,all,0,rand
0,similarity,yes_compose,1,rand
0,similarity,yes_drums,1,rand
0,similarity,train_under5,1,rand
0,similarity,all,1,rand
0,similarity,no_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,train_over5,2,rand
0,similarity,all,2,rand
0,similarity,yes_compose,3,rand
0,similarity,yes_drums,3,rand
0,similarity,train_over5,3,rand
0,similarity,all,3,rand
0,similarity,no_compose,0,rand
0,similarity,no_drums,0,rand
0,similarity,no_train,0,rand
0,similarity,all,0,rand
0,similarity,no_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,no_train,1,rand
0,similarity,all,1,rand
0,similarity,yes_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,train_over5,1,rand
0,similarity,all,1,rand
0,similarity,no_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,train_under5,2,rand
0,similarity,all,2,rand
0,similarity,yes_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,train_under5,1,rand
0,similarity,all,1,rand
0,similarity,yes_compose,2,rand
0,similarity,yes_drums,2,rand
0,similarity,train_over5,2,rand
0,similarity,all,2,rand
0,similarity,yes_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,no_train,3,rand
0,similarity,all,3,rand
0,similarity,yes_compose,4,rand
0,similarity,yes_drums,4,rand
0,similarity,train_over5,4,rand
0,similarity,all,4,rand
0,similarity,yes_compose,1,rand
0,similarity,yes_drums,1,rand
0,similarity,train_over5,1,rand
0,similarity,all,1,rand
0,similarity,no_compose,4,rand
0,similarity,no_drums,4,rand
0,similarity,no_train,4,rand
0,similarity,all,4,rand
0,similarity,no_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,no_train,2,rand
0,similarity,all,2,rand
0,similarity,no_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,train_under5,3,rand
0,similarity,all,3,rand
0,similarity,yes_compose,1,rand
0,similarity,yes_drums,1,rand
0,similarity,train_under5,1,rand
0,similarity,all,1,rand
0,similarity,no_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,train_under5,2,rand
0,similarity,all,2,rand
0,similarity,no_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,no_train,3,rand
0,similarity,all,3,rand
0,similarity,no_compose,3,rand
0,similarity,yes_drums,3,rand
0,similarity,train_under5,3,rand
0,similarity,all,3,rand
0,similarity,yes_compose,3,rand
0,similarity,yes_drums,3,rand
0,similarity,train_over5,3,rand
0,similarity,all,3,rand
0,similarity,no_compose,4,rand
0,similarity,no_drums,4,rand
0,similarity,no_train,4,rand
0,similarity,all,4,rand
0,similarity,yes_compose,4,rand
0,similarity,no_drums,4,rand
0,similarity,no_train,4,rand
0,similarity,all,4,rand
0,similarity,no_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,train_under5,3,rand
0,similarity,all,3,rand
0,similarity,yes_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,train_over5,2,rand
0,similarity,all,2,rand
0,similarity,yes_compose,0,rand
0,similarity,no_drums,0,rand
0,similarity,train_under5,0,rand
0,similarity,all,0,rand
0,similarity,yes_compose,1,rand
0,similarity,yes_drums,1,rand
0,similarity,train_under5,1,rand
0,similarity,all,1,rand
0,similarity,no_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,train_over5,3,rand
0,similarity,all,3,rand
0,similarity,yes_compose,3,rand
0,similarity,yes_drums,3,rand
0,similarity,train_over5,3,rand
0,similarity,all,3,rand
0,similarity,no_compose,4,rand
0,similarity,no_drums,4,rand
0,similarity,no_train,4,rand
0,similarity,all,4,rand
0,similarity,no_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,no_train,2,rand
0,similarity,all,2,rand
0,similarity,yes_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,train_over5,3,rand
0,similarity,all,3,rand
0,similarity,no_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,train_under5,3,rand
0,similarity,all,3,rand
0,similarity,yes_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,train_under5,2,rand
0,similarity,all,2,rand
0,similarity,yes_compose,1,rand
0,similarity,yes_drums,1,rand
0,similarity,train_over5,1,rand
0,similarity,all,1,rand
0,similarity,yes_compose,4,rand
0,similarity,no_drums,4,rand
0,similarity,no_train,4,rand
0,similarity,all,4,rand
0,similarity,yes_compose,3,rand
0,similarity,yes_drums,3,rand
0,similarity,train_over5,3,rand
0,similarity,all,3,rand
0,similarity,yes_compose,3,rand
0,similarity,yes_drums,3,rand
0,similarity,train_over5,3,rand
0,similarity,all,3,rand
0,similarity,no_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,no_train,2,rand
0,similarity,all,2,rand
0,similarity,no_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,no_train,3,rand
0,similarity,all,3,rand
0,similarity,no_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,train_under5,3,rand
0,similarity,all,3,rand
0,similarity,yes_compose,3,rand
0,similarity,yes_drums,3,rand
0,similarity,train_under5,3,rand
0,similarity,all,3,rand
0,similarity,no_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,train_under5,3,rand
0,similarity,all,3,rand
0,similarity,no_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,no_train,3,rand
0,similarity,all,3,rand
0,similarity,no_compose,4,rand
0,similarity,yes_drums,4,rand
0,similarity,train_under5,4,rand
0,similarity,all,4,rand
0,similarity,yes_compose,1,rand
0,similarity,yes_drums,1,rand
0,similarity,train_over5,1,rand
0,similarity,all,1,rand
0,similarity,no_compose,4,rand
0,similarity,no_drums,4,rand
0,similarity,no_train,4,rand
0,similarity,all,4,rand
0,similarity,yes_compose,4,rand
0,similarity,no_drums,4,rand
0,similarity,no_train,4,rand
0,similarity,all,4,rand
0,similarity,no_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,train_under5,2,rand
0,similarity,all,2,rand
0,similarity,yes_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,train_over5,3,rand
0,similarity,all,3,rand
0,similarity,yes_compose,4,rand
0,similarity,no_drums,4,rand
0,similarity,train_under5,4,rand
0,similarity,all,4,rand
0,similarity,yes_compose,2,rand
0,similarity,yes_drums,2,rand
0,similarity,train_under5,2,rand
0,similarity,all,2,rand
0,similarity,no_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,train_over5,1,rand
0,similarity,all,1,rand
0,similarity,yes_compose,4,rand
0,similarity,yes_drums,4,rand
0,similarity,train_over5,4,rand
0,similarity,all,4,rand
0,similarity,no_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,no_train,1,rand
0,similarity,all,1,rand
0,similarity,no_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,no_train,1,rand
0,similarity,all,1,rand
0,similarity,yes_compose,3,rand
0,similarity,no_drums,3,rand
0,similarity,train_over5,3,rand
0,similarity,all,3,rand
0,similarity,no_compose,1,rand
0,similarity,no_drums,1,rand
0,similarity,train_under5,1,rand
0,similarity,all,1,rand
0,similarity,yes_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,train_under5,2,rand
0,similarity,all,2,rand
0,similarity,yes_compose,1,rand
0,similarity,yes_drums,1,rand
0,similarity,train_over5,1,rand
0,similarity,all,1,rand
0,similarity,yes_compose,2,rand
0,similarity,no_drums,2,rand
0,similarity,no_train,2,rand
0,similarity,all,2,rand
